unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1736006400,PageView,1,0,0,0,0,1
1736017200,PageView,1,0,0,0,0,1
1736020800,PageView,1,0,0,0,0,1
1736028000,PageView,2,0,0,0,0,2
1736035200,PageView,3,0,0,0,0,3
1736038800,PageView,2,0,0,0,0,2
1736042400,PageView,1,0,0,0,0,1
1736053200,PageView,1,0,0,0,0,1
1736067600,PageView,2,0,0,0,0,2
1736074800,PageView,1,0,0,0,0,1
1736078400,PageView,13,0,0,0,0,13
1736082000,PageView,1,0,0,0,0,1
1736085600,PageView,1,0,0,0,0,1
1736100000,PageView,1,0,0,0,0,1
1736110800,PageView,3,0,0,0,0,3
1736121600,PageView,3,0,0,0,0,3
1736132400,PageView,1,0,0,0,0,1
1736136000,PageView,1,0,0,0,0,1
1736179200,PageView,1,0,0,0,0,1
1736182800,PageView,2,0,0,0,0,2
1736186400,PageView,3,0,0,0,0,3
1736190000,PageView,5,0,0,0,0,5
1736193600,PageView,4,0,0,0,0,4
1736197200,PageView,2,0,0,0,0,2
1736200800,PageView,1,0,0,0,0,1
1736204400,PageView,6,0,0,0,0,6
1736208000,PageView,5,0,0,0,0,5
1736211600,PageView,3,0,0,0,0,3
1736215200,PageView,2,0,0,0,0,2
1736247600,PageView,3,0,0,0,0,3
1736251200,PageView,4,0,0,0,0,4
1736254800,PageView,1,0,0,0,0,1
1736258400,PageView,1,0,0,0,0,1
1736262000,PageView,1,0,0,0,0,1
1736265600,PageView,3,0,0,0,0,3
1736276400,PageView,2,0,0,0,0,2
1736280000,PageView,15,0,0,0,0,15
1736283600,PageView,8,0,0,0,0,8
1736287200,PageView,1,0,0,0,0,1
1736290800,PageView,2,0,0,0,0,2
1736294400,PageView,3,0,0,0,0,3
1736301600,PageView,1,0,0,0,0,1
1736319600,PageView,4,0,0,0,0,4
1736323200,PageView,2,0,0,0,0,2
1736326800,PageView,5,0,0,0,0,5
1736330400,PageView,5,0,0,0,0,5
1736334000,PageView,7,0,0,0,0,7
1736337600,PageView,2,0,0,0,0,2
1736341200,PageView,2,0,0,0,0,2
1736344800,PageView,4,0,0,0,0,4
1736348400,PageView,4,0,0,0,0,4
1736352000,PageView,1,0,0,0,0,1
1736355600,PageView,7,0,0,0,0,7
1736362800,PageView,1,0,0,0,0,1
1736366400,PageView,1,0,0,0,0,1
1736370000,PageView,10,0,0,0,0,10
1736373600,PageView,3,0,0,0,0,3
1736377200,PageView,4,0,0,0,0,4
1736380800,PageView,1,0,0,0,0,1
1736384400,PageView,3,0,0,0,0,3
1736409600,PageView,1,0,0,0,0,1
1736416800,PageView,3,0,0,0,0,3
1736420400,PageView,7,0,0,0,0,7
1736424000,PageView,1,0,0,0,0,1
1736427600,PageView,8,0,0,0,0,8
1736431200,PageView,10,0,0,0,0,10
1736434800,PageView,9,0,0,0,0,9
1736438400,PageView,1,0,0,0,0,1
1736449200,PageView,2,0,0,0,0,2
1736452800,PageView,3,0,0,0,0,3
1736456400,PageView,1,0,0,0,0,1
1736460000,PageView,1,0,0,0,0,1
1736463600,PageView,24,0,0,0,0,24
1736467200,PageView,2,0,0,0,0,2
1736470800,PageView,1,0,0,0,0,1
1736474400,PageView,5,0,0,0,0,5
1736478000,PageView,3,0,0,0,0,3
1736481600,PageView,2,0,0,0,0,2
1736488800,PageView,1,0,0,0,0,1
1736496000,PageView,1,0,0,0,0,1
1736499600,PageView,4,0,0,0,0,4
1736503200,PageView,1,0,0,0,0,1
1736506800,PageView,1,0,0,0,0,1
1736514000,PageView,1,0,0,0,0,1
1736517600,PageView,2,0,0,0,0,2
1736521200,PageView,9,0,0,0,0,9
1736524800,PageView,11,0,0,0,0,11
1736528400,PageView,2,0,0,0,0,2
1736532000,PageView,1,0,0,0,0,1
1736535600,PageView,6,0,0,0,0,6
1736539200,PageView,3,0,0,0,0,3
1736542800,PageView,4,0,0,0,0,4
1736546400,PageView,1,0,0,0,0,1
1736550000,PageView,14,0,0,0,0,14
1736553600,PageView,4,0,0,0,0,4
1736557200,PageView,3,0,0,0,0,3
1736560800,PageView,4,0,0,0,0,4
1736564400,PageView,7,0,0,0,0,7
1736568000,PageView,6,0,0,0,0,6
1736575200,PageView,2,0,0,0,0,2
1736578800,PageView,13,0,0,0,0,13
1736582400,PageView,3,0,0,0,0,3
1736586000,PageView,1,0,0,0,0,1
1736589600,PageView,6,0,0,0,0,6
1736593200,PageView,4,0,0,0,0,4
1736596800,PageView,5,0,0,0,0,5
1736600400,PageView,5,0,0,0,0,5
1736604000,PageView,4,0,0,0,0,4
1736607600,PageView,7,0,0,0,0,7
1736611200,PageView,23,0,0,0,0,23
1736614800,PageView,11,0,0,0,0,11
1736618400,PageView,29,0,0,0,0,29
1736622000,PageView,7,0,0,0,0,7
